Country Code,Year,GDP,YoY Growth %
EST,2009,19633031397.6104,-19.34397090329766
EST,2010,19523477325.6235,-0.5580089481252215
EST,2011,23213994093.4631,18.902968494224126
EST,2012,23019150071.1867,-0.8393386398390934
EST,2013,25115753366.1114,9.108083002373935
EST,2014,26634083965.0987,6.045331696225276
EST,2015,22890762090.1508,-14.054629698746734
EST,2016,24072829276.7744,5.1639485918741235
EST,2017,26924385103.0659,11.84553669826711
EST,2018,30624720196.229,13.743433987436692
EST,2019,31081901909.2156,1.492851885852975
EST,2020,31370395572.7658,0.9281724921236689
EST,2021,37191166151.98,18.554979855808718
EST,2022,38100812958.5196,2.445867932245971
ETH,1960,,
ETH,1961,,
ETH,1962,,
ETH,1963,,
ETH,1964,,
ETH,1965,,
ETH,1966,,
ETH,1967,,
ETH,1968,,
ETH,1969,,
ETH,1970,,
ETH,1971,,
ETH,1972,,
ETH,1973,,
ETH,1974,,
ETH,1975,,
ETH,1976,,
ETH,1977,,
ETH,1978,,
ETH,1979,,
ETH,1980,,
ETH,1981,7324903188.4058,
ETH,1982,7707678019.32367,5.225664026846721
ETH,1983,8567890821.25604,11.160466223105804
ETH,1984,8096302367.14976,-5.504137061787928
ETH,1985,9480840483.09179,17.100869670575868
ETH,1986,9848600869.56522,3.878985066031837
ETH,1987,10527338647.343,6.89171778577462
ETH,1988,10908935748.7923,3.6248202345576797
ETH,1989,11476584879.2271,5.203524372188584
ETH,1990,12175166763.285,6.087018842359182
ETH,1991,13463868357.4879,10.584673041925496
ETH,1992,10492993077.6093,-22.06554016273008
ETH,1993,8830712713.90781,-15.841813211986032
ETH,1994,6927950564.55657,-21.547096038516923
ETH,1995,7663984567.90123,10.624123201891965
ETH,1996,8547939730.62374,11.533884950978956
ETH,1997,8589233860.17722,0.48308868399644656
ETH,1998,7818205592.92428,-8.976682668144653
ETH,1999,7700833482.00615,-1.5012666208772396
ETH,2000,8242349617.8638,7.031915923425203
ETH,2001,8231326016.47494,-0.13374343360742502
ETH,2002,7850809498.16803,-4.622785169064003
ETH,2003,8623691300.04079,9.844612865120617
ETH,2004,10131187261.4421,17.480866475289748
ETH,2005,12401139453.9738,22.405589137324753
ETH,2006,15280861834.6024,23.221433734509176
ETH,2007,19707616772.7996,28.969275333496803
ETH,2008,27066912635.2228,37.342393792538545
ETH,2009,32437389116.038,19.84148156530594
ETH,2010,29933790334.3418,-7.718249988431847
ETH,2011,31952763089.33,6.744794870404092
ETH,2012,43310721414.0829,35.54609125038599
ETH,2013,47648276605.0123,10.01496869437737
ETH,2014,55612228233.5179,16.714039197102547
ETH,2015,64589328550.5953,16.14231366414993
ETH,2016,74296745207.8721,15.029443524362707
ETH,2017,81770886825.6048,10.05985066616455
ETH,2018,84269196625.8784,3.055255846254701
ETH,2019,95912607722.3032,13.816924288618647
ETH,2020,107657734392.446,12.245654611069057
ETH,2021,111261882958.426,3.3477841479013115
ETH,2022,126783471597.671,13.950499691834972
EUU,1960,,
EUU,1961,,
EUU,1962,,
EUU,1963,,
EUU,1964,,
EUU,1965,,
EUU,1966,,
EUU,1967,,
EUU,1968,,
EUU,1969,,
EUU,1970,725882347880.346,
EUU,1971,820757859994.293,13.07037047959545
EUU,1972,990362172790.347,20.66435438062493
EUU,1973,1281934381027.14,29.440967784067084
EUU,1974,1451653955755.56,13.239334028348138
EUU,1975,1690761494478.92,16.471386846385762
EUU,1976,1769935318587.38,4.682731678418106
EUU,1977,2004765804618.25,13.267743943224609
EUU,1978,2442533896219.61,21.83637064204216
EUU,1979,2952640055239.03,20.88430215068573
EUU,1980,3302959936728.89,11.864632157525223
EUU,1981,2879790705886.44,-12.811818458250478
EUU,1982,2777190076954.51,-3.5627807507750187
EUU,1983,2701887970990.39,-2.7114494823017865
EUU,1984,2603220591295.78,-3.651793884645904
EUU,1985,2677481057422.58,2.8526382426099506
EUU,1986,3743790443177.26,39.825095411921964
EUU,1987,4630939521325.74,23.69654743270244
EUU,1988,5083941391067.04,9.782072679964848
EUU,1989,5193045049320.93,2.1460447684466866
EUU,1990,6497764960998.87,25.12437114036883
EUU,1991,6735918095931.52,3.6651546549021363
EUU,1992,7406346647462.83,9.953038947077575
EUU,1993,6761164498941.44,-8.711206472389566
EUU,1994,7161925326227.77,5.927393533304426
EUU,1995,8295832183149.5,15.832430600319691
EUU,1996,8431354015024.82,1.6336134685871917
EUU,1997,7733772686274.64,-8.273657202711194
EUU,1998,7969828384040.82,3.052270959361336
EUU,1999,7925877863372.77,-0.5514613182394212
EUU,2000,7276390991857.45,-8.194510219703755
EUU,2001,7393612739232.78,1.610987473137504
EUU,2002,8083519004561.54,9.331111726584007
EUU,2003,9932133486284.81,22.868932214795244
EUU,2004,11418900352971.1,14.969259814513691
EUU,2005,11910068707011.7,4.301362993440971
EUU,2006,12712635610430.1,6.73855813229618
EUU,2007,14727519982190.6,15.849462169020123
EUU,2008,16295383915395.2,10.645810938301592
EUU,2009,14762732184092.9,-9.405434933351364
EUU,2010,14556037351406.0,-1.40011232412397
EUU,2011,15765045684120.1,8.305889188978476
EUU,2012,14641507897977.1,-7.126765178198779
EUU,2013,15294695568087.0,4.461204915923633
EUU,2014,15651155752825.7,2.3306131406921837
EUU,2015,13553676666875.9,-13.40143257836479
EUU,2016,13888512857169.0,2.4704454630485095
EUU,2017,14765543450855.0,6.314791242989659
EUU,2018,15980992271824.9,8.231656525310749
EUU,2019,15693432719569.6,-1.7993848402159562
EUU,2020,15381174426002.4,-1.9897386323759148
EUU,2021,17315524857576.4,12.576090602704015
EUU,2022,16746223630459.1,-3.287808090138278
FCS,1960,,
FCS,1961,,
FCS,1962,,
FCS,1963,,
FCS,1964,,
FCS,1965,,
FCS,1966,,
FCS,1967,,
FCS,1968,44702995409.2719,
FCS,1969,48810492501.7773,9.188415798314619
FCS,1970,61465995002.7759,25.927832013860108
FCS,1971,61399014249.9906,-0.10897204671017624
FCS,1972,70634250872.8041,15.041343473710423
FCS,1973,86153958081.8353,21.971928656790872
FCS,1974,131587080078.986,52.73480523552385
FCS,1975,147968477634.526,12.449092681216856
FCS,1976,177928369331.057,20.247482555392835
FCS,1977,192708150116.276,8.306590365991307
FCS,1978,212462321542.409,10.250823026537148
